topic	relation	language	pos	lemma	orthography	features
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентите на район	Q130356731,Q146786,Q499327,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентът на района	Q110786,Q130356731,Q499327,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентите на район	Q130356734,Q146786,Q499327,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президент на района	Q110786,Q130356734,Q499327,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентките на район	Q146786,Q1775415,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентката на район	Q110786,Q1775415,Q53997851
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентки на район	Q146786,Q1775415,Q53997857
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президентка на район	Q110786,Q1775415,Q53997857
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президенти на район	Q146786,Q499327,Q53997857
Q4946327	Human denoting sense	Q7918	nominal	президент на район	президент на район	Q110786,Q499327,Q53997857
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчърите	Q130356731,Q146786,Q499327,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчърът	Q110786,Q130356731,Q499327,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчърите	Q130356734,Q146786,Q499327,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчъра	Q110786,Q130356734,Q499327,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчърите	Q146786,Q1775415,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчърите	Q110786,Q1775415,Q53997851
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчъри	Q146786,Q1775415,Q53997857
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчър	Q110786,Q1775415,Q53997857
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчъри	Q146786,Q499327,Q53997857
Q1050571	Human denoting sense	Q7918	nominal	кетчър	кетчър	Q110786,Q499327,Q53997857
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалните работници	Q130356731,Q146786,Q499327,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалният работник	Q110786,Q130356731,Q499327,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалните работници	Q130356734,Q146786,Q499327,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалния работник	Q110786,Q130356734,Q499327,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалните работнички	Q146786,Q1775415,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социалната работничка	Q110786,Q1775415,Q53997851
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социални работнички	Q146786,Q1775415,Q53997857
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социална работничка	Q110786,Q1775415,Q53997857
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социални работници	Q146786,Q499327,Q53997857
Q7019111	Human denoting sense	Q7918	nominal	социален работник	социален работник	Q110786,Q499327,Q53997857
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистите	Q130356731,Q146786,Q499327,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистът	Q110786,Q130356731,Q499327,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистите	Q130356734,Q146786,Q499327,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудиста	Q110786,Q130356734,Q499327,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистките	Q146786,Q1775415,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистката	Q110786,Q1775415,Q53997851
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистки	Q146786,Q1775415,Q53997857
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудистка	Q110786,Q1775415,Q53997857
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудисти	Q146786,Q499327,Q53997857
Q6665249	Human denoting sense	Q7918	nominal	джудист	джудист	Q110786,Q499327,Q53997857
Q3104508	Human denoting sense	Q7918	nominal	културен мениджър	културните мениджъри	Q130356731,Q146786,Q499327,Q53997851
Q3104508	Human denoting sense	Q7918	nominal	културен мениджър	културният мениджър	Q110786,Q130356731,Q499327,Q53997851
Q3104508	Human denoting sense	Q7918	nominal	културен мениджър	културните мениджъри	Q130356734,Q146786,Q499327,Q53997851
