topic	relation	language	pos	lemma	orthography	features
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَتَيْنِ أيمن	Q110022,Q146078,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرات أيمن	Q146078,Q146786,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَة أيمن	Q110786,Q146078,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَيْنِ أيمن	Q110022,Q146078,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظهيرين أيمن	Q146078,Q146786,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِير أيمن	Q110786,Q146078,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَتَيْنِ أيمن	Q110022,Q146078,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرات أيمن	Q146078,Q146786,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَة أيمن	Q110786,Q146078,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَيْنِ أيمن	Q110022,Q146078,Q499327,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظهيرين أيمن	Q146078,Q146786,Q499327,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظهيراً أيمن	Q110786,Q146078,Q499327,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَتَيْ أيمن	Q110022,Q146233,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرات أيمن	Q146233,Q146786,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَة أيمن	Q110786,Q146233,Q1641446,Q1775415
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَيْنِ أيمن	Q110022,Q146233,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظهيرين أيمن	Q146233,Q146786,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِير أيمن	Q110786,Q146233,Q1641446,Q499327
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَتَيْنِ أيمن	Q110022,Q146233,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرات أيمن	Q146233,Q146786,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَة أيمن	Q110786,Q146233,Q1775415,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِيرَيْنِ أيمن	Q110022,Q146233,Q499327,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظهيرين أيمن	Q146233,Q146786,Q499327,Q53997857
Q65658788	Human denoting sense	Q13955	nominal	ظَهِير أيمن	ظَهِير أيمن	Q110786,Q146233,Q499327,Q53997857
