topic	relation	language	pos	lemma	orthography	features
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאיות לטיניות	Q146786,Q1641446,Q1775415
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאיות לטיניות	Q146786,Q1775415,Q53997857
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאית לטינית	Q110786,Q1641446,Q1775415
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאית לטינית	Q110786,Q1775415,Q53997857
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאים לטינים	Q146786,Q1641446,Q499327
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאים לטינים	Q146786,Q499327,Q53997857
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאי לטיני	Q110786,Q1641446,Q499327
Q12585	Demonym adjective	Q9288	adjectival	אמריקאי לטיני	אמריקאי לטיני	Q110786,Q499327,Q53997857
Q336286	Human denoting sense	Q9288	nominal	מגן	מגנות	Q146786,Q1641446,Q1775415
Q336286	Human denoting sense	Q9288	nominal	מגן	המגנות	Q146786,Q1775415,Q53997851
Q336286	Human denoting sense	Q9288	nominal	מגן	מגנות	Q146786,Q1775415,Q53997857
Q336286	Human denoting sense	Q9288	nominal	מגן	מגנת	Q110786,Q1641446,Q1775415
Q336286	Human denoting sense	Q9288	nominal	מגן	המגנה	Q110786,Q1775415,Q53997851
Q336286	Human denoting sense	Q9288	nominal	מגן	מגנה	Q110786,Q1775415,Q53997857
Q336286	Human denoting sense	Q9288	nominal	מגן	מגני	Q146786,Q1641446,Q499327
Q336286	Human denoting sense	Q9288	nominal	מגן	המגנים	Q146786,Q499327,Q53997851
Q336286	Human denoting sense	Q9288	nominal	מגן	מגנים	Q146786,Q499327,Q53997857
Q336286	Human denoting sense	Q9288	nominal	מגן	מגן	Q110786,Q1641446,Q499327
Q336286	Human denoting sense	Q9288	nominal	מגן	המגן	Q110786,Q499327,Q53997851
Q336286	Human denoting sense	Q9288	nominal	מגן	מגן	Q110786,Q499327,Q53997857
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאיות בובסליי	Q146786,Q1641446,Q1775415
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאיות הבובסליי	Q146786,Q1775415,Q53997851
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאיות בובסליי	Q146786,Q1775415,Q53997857
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאית בובסליי	Q110786,Q1641446,Q1775415
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאית הבובסליי	Q110786,Q1775415,Q53997851
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאית בובסליי	Q110786,Q1775415,Q53997857
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי בובסליי	Q146786,Q1641446,Q499327
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי הבובסליי	Q146786,Q499327,Q53997851
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי בובסליי	Q146786,Q499327,Q53997857
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי בובסליי	Q110786,Q1641446,Q499327
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי הבובסליי	Q110786,Q499327,Q53997851
Q13383011	Human denoting sense	Q9288	nominal	ספורטאי בובסליי	ספורטאי בובסליי	Q110786,Q499327,Q53997857
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטייריות	Q146786,Q1641446,Q1775415
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	השוקולטייריות	Q146786,Q1775415,Q53997851
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטייריות	Q146786,Q1775415,Q53997857
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטיירית	Q110786,Q1641446,Q1775415
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	השוקולטיירית	Q110786,Q1775415,Q53997851
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטיירית	Q110786,Q1775415,Q53997857
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטיירי	Q146786,Q1641446,Q499327
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	השוקולטיירים	Q146786,Q499327,Q53997851
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטיירים	Q146786,Q499327,Q53997857
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטייר	Q110786,Q1641446,Q499327
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	השוקולטייר	Q110786,Q499327,Q53997851
Q305012	Human denoting sense	Q9288	nominal	שוקולטייר	שוקולטייר	Q110786,Q499327,Q53997857
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגיות	Q146786,Q1641446,Q1775415
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	הנוירוכירורגיות	Q146786,Q1775415,Q53997851
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגיות	Q146786,Q1775415,Q53997857
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגית	Q110786,Q1641446,Q1775415
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	הנוירוכירורגית	Q110786,Q1775415,Q53997851
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגית	Q110786,Q1775415,Q53997857
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגי	Q146786,Q1641446,Q499327
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	הנוירוכירורגים	Q146786,Q499327,Q53997851
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורגים	Q146786,Q499327,Q53997857
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורג	Q110786,Q1641446,Q499327
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	הנוירוכירורג	Q110786,Q499327,Q53997851
Q9385011	Human denoting sense	Q9288	nominal	נוירוכירורג	נוירוכירורג	Q110786,Q499327,Q53997857
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	נשות חצר	Q146786,Q1641446,Q1775415
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	נשות החצר	Q146786,Q1775415,Q53997851
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	נשות חצר	Q146786,Q1775415,Q53997857
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אשת חצר	Q110786,Q1641446,Q1775415
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אשת החצר	Q110786,Q1775415,Q53997851
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אשת חצר	Q110786,Q1775415,Q53997857
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אנשי חצר	Q146786,Q1641446,Q499327
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אנשי החצר	Q146786,Q499327,Q53997851
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	אנשי חצר	Q146786,Q499327,Q53997857
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	איש חצר	Q110786,Q1641446,Q499327
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	איש החצר	Q110786,Q499327,Q53997851
Q1511216	Human denoting sense	Q9288	nominal	איש חצר	איש חצר	Q110786,Q499327,Q53997857
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	עברייניות נמלטות	Q146786,Q1641446,Q1775415
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	העברייניות הנמלטות	Q146786,Q1775415,Q53997851
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	עברייניות נמלטות	Q146786,Q1775415,Q53997857
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	עבריינית נמלטת	Q110786,Q1641446,Q1775415
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	העבריינית הנמלטת	Q110786,Q1775415,Q53997851
Q2917380	Human denoting sense	Q9288	nominal	עבריין נמלט	עבריינית נמלטת	Q110786,Q1775415,Q53997857
